what,kind,bundleId,bundleVersion,description,time
userinfo,misc,,,"{""account.name"":""nsaw"",""localhost.hostname"":""NSAW-M-R0YR"",""runtime.hostname"":""NSAW-M-R0YR""}",1539861309367
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1539861309371
os,sysinfo,,,"macosx",1539861309374
arch,sysinfo,,,"x86_64",1539861309374
ws,sysinfo,,,"cocoa",1539861309374
locale,sysinfo,,,"en_IN",1539861309374
processors,sysinfo,,,"8",1539861309374
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1539861309374
java.runtime.version,sysinfo,,,"1.8.0_181-b13",1539861309374
java.specification.name,sysinfo,,,"Java Platform API Specification",1539861309374
java.specification.vendor,sysinfo,,,"Oracle Corporation",1539861309374
java.specification.version,sysinfo,,,"1.8",1539861309374
java.vendor,sysinfo,,,"Oracle Corporation",1539861309374
java.version,sysinfo,,,"1.8.0_181",1539861309374
java.vm.info,sysinfo,,,"mixed mode",1539861309374
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1539861309374
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1539861309374
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1539861309374
java.vm.specification.version,sysinfo,,,"1.8",1539861309374
java.vm.vendor,sysinfo,,,"Oracle Corporation",1539861309374
java.vm.version,sysinfo,,,"25.181-b13",1539861309374
os.name,sysinfo,,,"Mac OS X",1539861309374
os.version,sysinfo,,,"10.13.6",1539861309374
executed,command,org.eclipse.ui,,"org.eclipse.ui.file.import",1539861345533
executed,command,org.eclipse.ui,,"org.eclipse.ui.file.import",1539861345533
opened,editor,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.CompilationUnitEditor",1539861377370
activated,editor,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.CompilationUnitEditor",1539861377760
executed,command,org.eclipse.ui,,"org.eclipse.ui.edit.copy",1539861388321
closed,view,org.eclipse.wst.server.ui,,"org.eclipse.wst.server.ui.ServersView",1539861410069
closed,view,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.PackageExplorer",1539861410094
closed,view,org.eclipse.ui.ide,,"org.eclipse.ui.views.ProblemView",1539861410110
closed,view,org.eclipse.ui.views,,"org.eclipse.ui.views.ContentOutline",1539861410119
closed,editor,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.CompilationUnitEditor",1539861410143
userinfo,misc,,,"{""account.name"":""nsaw"",""localhost.hostname"":""NSAW-M-R0YR"",""runtime.hostname"":""NSAW-M-R0YR""}",1541563875042
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1541563875044
os,sysinfo,,,"macosx",1541563875048
arch,sysinfo,,,"x86_64",1541563875048
ws,sysinfo,,,"cocoa",1541563875048
locale,sysinfo,,,"en_IN",1541563875048
processors,sysinfo,,,"8",1541563875048
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1541563875048
java.runtime.version,sysinfo,,,"1.8.0_181-b13",1541563875048
java.specification.name,sysinfo,,,"Java Platform API Specification",1541563875048
java.specification.vendor,sysinfo,,,"Oracle Corporation",1541563875048
java.specification.version,sysinfo,,,"1.8",1541563875048
java.vendor,sysinfo,,,"Oracle Corporation",1541563875048
java.version,sysinfo,,,"1.8.0_181",1541563875048
java.vm.info,sysinfo,,,"mixed mode",1541563875048
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1541563875048
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1541563875048
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1541563875048
java.vm.specification.version,sysinfo,,,"1.8",1541563875048
java.vm.vendor,sysinfo,,,"Oracle Corporation",1541563875048
java.vm.version,sysinfo,,,"25.181-b13",1541563875048
os.name,sysinfo,,,"Mac OS X",1541563875048
os.version,sysinfo,,,"10.14",1541563875048
activated,view,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.PackageExplorer",1541564252076
executed,command,org.eclipse.ui,,"org.eclipse.ui.file.import",1541564466672
executed,command,org.eclipse.ui,,"org.eclipse.ui.file.import",1541564466672
executed,command,org.eclipse.ltk.ui.refactoring,,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1541564479835
closed,editor,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.CompilationUnitEditor",1541564479878
executed,command,org.eclipse.ui,,"org.eclipse.ui.edit.delete",1541564479922
executed,command,org.eclipse.ui,,"org.eclipse.ui.file.import",1541564495568
executed,command,org.eclipse.ui,,"org.eclipse.ui.file.import",1541564495568
opened,editor,org.eclipse.m2e.editor,,"org.eclipse.m2e.editor.MavenPomEditor",1541564503725
activated,editor,org.eclipse.m2e.editor,,"org.eclipse.m2e.editor.MavenPomEditor",1541564503931
executed,command,org.eclipse.ui,,"org.eclipse.ui.file.save",1541564516835
activated,view,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.PackageExplorer",1541564532974
activated,editor,org.eclipse.m2e.editor,,"org.eclipse.m2e.editor.MavenPomEditor",1541564574684
executed,command,org.eclipse.ui,,"org.eclipse.ui.edit.undo",1541564576323
executed,command,org.eclipse.ui,,"org.eclipse.ui.edit.paste",1541564646532
executed,command,org.eclipse.ui,,"org.eclipse.ui.file.save",1541564647896
executed,command,org.eclipse.ui,,"org.eclipse.ui.edit.cut",1541564665413
executed,command,org.eclipse.ui,,"org.eclipse.ui.edit.paste",1541564667845
executed,command,org.eclipse.ui,,"org.eclipse.ui.file.save",1541564668628
executed,command,org.eclipse.ui,,"org.eclipse.ui.edit.selectAll",1541564708025
executed,command,org.eclipse.ui,,"org.eclipse.ui.edit.paste",1541564718805
executed,command,org.eclipse.ui,,"org.eclipse.ui.file.save",1541564720040
closed,view,org.eclipse.wst.server.ui,,"org.eclipse.wst.server.ui.ServersView",1541645798457
closed,view,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.PackageExplorer",1541645798540
closed,view,org.eclipse.ui.ide,,"org.eclipse.ui.views.ProblemView",1541645798613
closed,view,org.eclipse.ui.views,,"org.eclipse.ui.views.ContentOutline",1541645798650
closed,editor,org.eclipse.m2e.editor,,"org.eclipse.m2e.editor.MavenPomEditor",1541645798697
userinfo,misc,,,"{""account.name"":""nsaw"",""localhost.hostname"":""NSAW-M-R0YR"",""runtime.hostname"":""NSAW-M-R0YR""}",1541914293981
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1541914293983
os,sysinfo,,,"macosx",1541914293985
arch,sysinfo,,,"x86_64",1541914293985
ws,sysinfo,,,"cocoa",1541914293985
locale,sysinfo,,,"en_IN",1541914293985
processors,sysinfo,,,"8",1541914293985
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1541914293985
java.runtime.version,sysinfo,,,"1.8.0_181-b13",1541914293985
java.specification.name,sysinfo,,,"Java Platform API Specification",1541914293985
java.specification.vendor,sysinfo,,,"Oracle Corporation",1541914293985
java.specification.version,sysinfo,,,"1.8",1541914293985
java.vendor,sysinfo,,,"Oracle Corporation",1541914293985
java.version,sysinfo,,,"1.8.0_181",1541914293985
java.vm.info,sysinfo,,,"mixed mode",1541914293985
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1541914293985
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1541914293985
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1541914293985
java.vm.specification.version,sysinfo,,,"1.8",1541914293985
java.vm.vendor,sysinfo,,,"Oracle Corporation",1541914293985
java.vm.version,sysinfo,,,"25.181-b13",1541914293985
os.name,sysinfo,,,"Mac OS X",1541914293985
os.version,sysinfo,,,"10.14",1541914293985
executed,command,org.eclipse.ui,,"org.eclipse.ui.file.import",1541914306858
executed,command,org.eclipse.ui,,"org.eclipse.ui.file.import",1541914306858
activated,editor,org.eclipse.m2e.editor,,"org.eclipse.m2e.editor.MavenPomEditor",1541914310434
activated,view,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.PackageExplorer",1541914310567
closed,editor,org.eclipse.m2e.editor,,"org.eclipse.m2e.editor.MavenPomEditor",1541914310599
opened,editor,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.CompilationUnitEditor",1541914318559
activated,editor,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.CompilationUnitEditor",1541914318859
activated,view,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.PackageExplorer",1541914323493
opened,editor,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.CompilationUnitEditor",1541914776263
activated,editor,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.CompilationUnitEditor",1541914776336
executed,command,org.eclipse.ui,,"org.eclipse.ui.file.save",1541914792201
activated,view,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.PackageExplorer",1541914797108
opened,editor,org.eclipse.ui.editors,,"org.eclipse.ui.DefaultTextEditor",1541914909368
